ID	bid	uid	res	dollar	summa
100	100	60610	1	0	0
101	100	60610	2	0	0
102	100	60610	3	0	0
103	100	448226	3	0	222
104	101	329919	1	0	100
105	100	441754	3	0	10
106	103	441754	2	0	20
107	102	441754	3	0	1
108	101	441754	2	0	1
109	100	56712	3	0	100
110	101	56712	2	0	100
111	102	56712	1	0	100
112	103	56712	3	0	300
113	100	70268	3	0	1
114	101	70268	1	0	1
115	102	70268	1	0	2
116	102	70268	1	0	0
117	103	70268	3	0	0
118	103	70268	3	0	0
119	100	11507	3	0	900
120	100	452796	3	0	25
121	103	452796	3	0	0
122	103	452796	3	0	0
123	102	113418	3	0	100
124	103	113418	3	0	50
125	101	113418	1	0	100
126	100	113418	1	0	100
127	102	68501	2	0	10
128	100	68501	3	0	10
2427	132	315422	1	0	2
2426	132	315422	3	0	3
2425	132	315422	1	0	2
2424	132	117615	3	0	200
2423	131	117615	3	0	200
2422	132	315422	2	0	1
2421	132	315422	3	0	2
2420	132	315422	1	0	2
2419	131	315422	3	0	2
2418	131	315422	3	0	2
2417	131	315422	1	0	2
2416	131	60610	1	0	1
2415	131	60610	2	0	1
2414	131	60610	2	0	9999
2413	132	52157	3	0	900
2412	132	52157	2	0	400
2411	132	52157	1	0	900
2410	129	56712	3	0	1000
2409	132	52157	3	0	100
2408	132	52157	2	0	100
2407	132	52157	1	0	100
2406	131	52157	3	0	100
2405	131	52157	2	0	100
2404	131	52157	1	0	100
2403	132	68501	3	0	5000
2402	132	73902	1	0	400
2401	131	73392	3	0	1
2400	132	73392	2	0	1
2399	128	73392	3	0	1
2398	126	73392	3	0	1
2397	126	117615	1	0	72
2396	126	117615	1	0	50
2395	127	117615	3	0	100
2394	125	73902	3	0	200
2393	131	439634	1	0	2000
2392	132	439634	1	0	5000
2391	132	70268	3	0	100
2390	132	70268	2	0	100
2389	132	70268	1	0	100
2388	131	70268	3	0	200
2387	131	70268	1	0	100
2386	124	315422	3	0	2
2385	124	315422	1	0	2
2384	131	465990	3	0	1
2383	131	86030	1	0	1000
2382	132	86030	1	0	5555
2381	132	73902	1	0	300
2380	132	448226	3	0	111
2379	131	448226	3	0	666
2378	129	448226	3	0	111
2377	128	448226	3	0	88
2376	126	448226	3	0	111
2375	125	448226	3	0	222
2374	132	461666	2	0	1
2373	132	113418	1	0	200
2372	131	113418	3	0	200
2371	132	56712	1	0	400
2370	132	56712	2	0	1000
2369	132	56712	3	0	3000
2368	131	56712	2	0	100
2367	131	56712	3	0	2000
2366	122	56712	2	0	500
2365	132	196895	3	0	100
2364	131	196895	3	0	100
2363	122	20681	2	0	100
2362	127	117615	3	0	10
2361	125	117615	3	0	10
2360	126	117615	1	0	10
2359	122	117615	3	0	30
2358	124	117615	1	0	20
2357	122	117615	3	0	30
2356	122	117615	3	0	30
2355	129	117615	3	0	200
2354	130	117615	3	0	200
2353	128	117615	3	0	200
2352	132	117615	3	0	200
2351	131	117615	3	0	200
2350	129	2356	3	0	1000
2349	128	2356	3	0	1000
2348	127	2356	1	0	1000
2347	126	2356	3	0	1000
2346	126	73902	3	0	100
2345	125	2356	3	0	1000
2344	124	2356	1	0	1000
2343	122	2356	3	0	1000
2342	130	2356	3	0	1000
2341	128	455909	2	0	58
2340	127	461666	1	0	2
2339	125	73902	3	0	100
2338	127	315422	3	0	1
2337	127	315422	1	0	1
2336	129	70268	3	0	100
2335	129	70268	2	0	100
2334	129	70268	1	0	100
2333	128	70268	3	0	100
2332	128	70268	2	0	100
2331	128	70268	1	0	100
2330	127	70268	3	0	100
2329	127	70268	2	0	100
2328	126	70268	2	0	100
2327	126	70268	1	0	100
2326	125	70268	2	0	100
2325	125	70268	1	0	100
2324	124	70268	3	0	100
2323	124	70268	2	0	100
2322	124	70268	1	0	100
2321	122	70268	3	0	100
2320	122	70268	2	0	100
2319	122	70268	1	0	100
2318	130	70268	3	0	100
2317	130	70268	2	0	100
2316	130	70268	1	0	100
2315	129	52157	3	0	100
2314	129	52157	2	0	100
2313	129	52157	1	0	100
2312	128	52157	3	0	100
2311	128	52157	2	0	100
2310	128	52157	1	0	100
2309	127	52157	3	0	100
2308	127	52157	2	0	100
2307	127	52157	1	0	100
2306	126	52157	3	0	100
2305	126	52157	2	0	100
2304	126	52157	1	0	100
2303	125	52157	3	0	100
2302	125	52157	2	0	100
2301	125	52157	1	0	100
2300	124	52157	3	0	100
2299	124	52157	2	0	100
2298	124	52157	1	0	100
2297	122	52157	3	0	100
2296	122	52157	2	0	100
2295	122	52157	1	0	100
2294	130	52157	3	0	100
2293	130	52157	1	0	100
2292	130	52157	2	0	100
2291	129	56712	2	0	1000
2290	128	56712	2	0	1000
2289	127	56712	1	0	500
2288	127	56712	2	0	1000
2287	126	56712	3	0	1000
2286	125	56712	3	0	1000
2285	124	56712	1	0	1000
2284	122	56712	1	0	1000
2283	130	56712	3	0	1000
2282	130	130462	3	0	3
2281	124	117615	1	0	40
2280	128	117615	3	0	40
2279	129	68501	2	0	500
2278	128	68501	3	0	3000
2277	127	68501	1	0	1000
2276	126	68501	1	0	500
2275	125	68501	3	0	5000
2274	124	68501	1	0	1200
2273	122	68501	3	0	1200
2272	130	68501	3	0	2000
2271	128	118666	3	0	200
2270	125	70268	3	0	100
2269	126	70268	3	0	100
2268	127	70268	1	0	100
2267	124	73902	1	0	100
2266	130	73902	3	0	100
2265	122	73902	1	0	100
2264	114	73902	1	0	100
2263	130	20681	3	0	40
2262	114	20681	3	0	250
2261	114	401893	1	0	5000
2260	114	91785	2	0	10
2259	114	187750	2	0	180
2258	114	187750	1	0	100
2257	127	448226	1	0	111
2256	128	461666	2	0	2
2255	127	448226	1	0	111
2254	129	448226	3	0	111
2253	124	448226	1	0	111
2252	130	448226	3	0	111
2251	114	113418	3	0	19
2250	130	113418	3	0	400
2249	129	439634	3	0	500
2248	128	439634	2	0	200
2247	127	439634	1	0	200
2246	126	439634	2	0	100
2245	125	439634	2	0	100
2244	124	439634	1	0	500
2241	114	439634	1	0	1000
2240	125	227688	3	0	20
2239	129	113418	3	0	200
2238	128	113418	3	0	400
