Россия;;;;;;;;
Номер;Оператор;Цена СМС;Кредитов;Цена 1кр (коп);Доход партнера;Валюта партнера;Цена SMS для абонента;Валюта абонента
1121;TELE2;3,54;270;1,311111111;0,05;usd;3;rur
1121;UTEL;3,54;108;3,277777778;0,02;usd;3;rur
1121;АКОС;3,54;378;0,936507937;0,07;usd;3;rur
1121;БайкалВестКом;3,54;378;0,936507937;0,07;usd;3;rur
1121;Билайн;3,5;162;2,160493827;0,03;usd;2,97;rur
1121;Дельта Телеком (skylink);3,54;432;0,819444444;0,08;usd;3;rur
1121;Енисей Телеком;3,54;270;1,311111111;0,05;usd;3;rur
1121;Мегафон - Дальний Восток;3,54;108;3,277777778;0,02;usd;3;rur
1121;Мегафон - Москва;3,54;108;3,277777778;0,02;usd;3;rur
1121;Мегафон - Поволжье;3,54;108;3,277777778;0,02;usd;3;rur
1121;Мегафон - Северный Кавказ;3,54;108;3,277777778;0,02;usd;3;rur
1121;Мегафон - Северо-Запад;3,54;108;3,277777778;0,02;usd;3;rur
1121;Мегафон - Сибирь;3,54;108;3,277777778;0,02;usd;3;rur
1121;Мегафон - Урал;3,54;108;3,277777778;0,02;usd;3;rur
1121;Мегафон - Центр;3,54;108;3,277777778;0,02;usd;3;rur
1121;Мегафон - Центр - Северный филиал;3,54;108;3,277777778;0,02;usd;3;rur
1121;Мегафон - Центр - Южный филиал;3,54;108;3,277777778;0,02;usd;3;rur
1121;МОТИВ;3,6;378;0,952380952;0,07;usd;3,05;rur
1121;МТС;3,39;162;2,092592593;0,03;usd;2,87;rur
1121;МТС - Москва;3,39;162;2,092592593;0,03;usd;2,87;rur
1121;МТС - МР Дальневосточный;3,39;162;2,092592593;0,03;usd;2,87;rur
1121;МТС - МР Приволжский;3,39;162;2,092592593;0,03;usd;2,87;rur
1121;МТС - МР Северо-Западный;3,39;162;2,092592593;0,03;usd;2,87;rur
1121;МТС - МР Северо-кавказский;3,39;162;2,092592593;0,03;usd;2,87;rur
1121;МТС - МР Сибирский;3,39;162;2,092592593;0,03;usd;2,87;rur
1121;МТС - МР Уральский;3,39;162;2,092592593;0,03;usd;2,87;rur
1121;МТС - МР Центральный;3,39;162;2,092592593;0,03;usd;2,87;rur
1121;МТС - РеКом;3,39;162;2,092592593;0,03;usd;2,87;rur
1121;НСС;3,36;216;1,555555556;0,04;usd;2,85;rur
1121;НСС - Нижний Новгород;3,36;216;1,555555556;0,04;usd;2,85;rur
1121;НТК;3,42;270;1,266666667;0,05;usd;2,9;rur
1121;Оренбург GSM;3;324;0,925925926;0,06;usd;2,54;rur
1121;Саратов-Мобайл;2,86;324;0,882716049;0,06;usd;2,42;rur
1121;Сибирьтелеком;3,54;270;1,311111111;0,05;usd;3;rur
1121;СМАРТС - Астрахань;3,54;216;1,638888889;0,04;usd;3;rur
1121;СМАРТС - Волгоград GSM;3,54;378;0,936507937;0,07;usd;3;rur
1121;СМАРТС - Иваново;3,5;270;1,296296296;0,05;usd;2,97;rur
1121;СМАРТС - Пенза;3,5;108;3,240740741;0,02;usd;2,97;rur
1121;СМАРТС - Самара;3,5;108;3,240740741;0,02;usd;2,97;rur
1121;СМАРТС - Шупашкар;3,5;324;1,080246914;0,06;usd;2,97;rur
1121;СМАРТС - Ярославль;3,5;108;3,240740741;0,02;usd;2,97;rur
1121;СТеК Джи Эс Эм;3,54;378;0,936507937;0,07;usd;3;rur
1121;Татинком;3,37;216;1,560185185;0,04;usd;2,86;rur
1121;Ульяновск GSM;3,5;324;1,080246914;0,06;usd;2,97;rur
